Trace length, % Trace in CG, Trace_len/CG_size
46,0.02173913,0.221674877
49,0,0.494845361
14,0,0.188405797
12,0,0.25
56,0,4.230769231
3,0,0.166666667
24,0,0.71875
35,0,1.0625
211,0,0.512195122
59,0.016949153,0.783783784
7,0.428571429,0.428571429
98,0.010204082,1.644067797
80,0.0125,1.274193548
5,0.2,0.363636364
110,0.018181818,0.801470588
158,0,2.453125
9,0,0.235294118
3,0,0.166666667
17,0.176470588,0.153846154
26,0,0.454545455
65,0.015384615,0.374269006
53,0.018867925,0.371428571
71,0,0.339805825
56,0,4.230769231
21,0,0.147058824
28,0.035714286,0.5
20,0,1.1875
22,0,5.25
49,0,0.428571429
69,0.014492754,0.894736842
35,0.028571429,2
71,0,0.583333333
35,0.028571429,0.125925926
30,0,0.119834711
23,0.173913043,0.18487395
60,0,0.855072464
28,0.035714286,0.226890756
75,0.013333333,0.229813665
34,0,0.128404669
34,0.029411765,0.392857143
17,0,0.134453782
83,0,0.338842975
6,0.166666667,0.135135135
54,0.018518519,1.472222222
77,0.090909091,0.225519288
36,0.055555556,0.68627451
158,0,2.453125
11,0.090909091,0.131578947
11,0.090909091,0.161290323
28,0,0.209302326
25,0.2,0.533333333
16,0.0625,0.428571429
78,0.012820513,1.241935484
64,0,0.9
45,0.111111111,0.167938931
105,0.00952381,1.350649351
75,0.08,0.237179487
5,0.2,0.042553191
108,0.009259259,1.229885057
66,0,0.802469136
5,0,0.5
21,0.047619048,0.25
4,0.25,0.115384615
52,0,0.425
8,0.125,0.583333333
26,0,0.416666667
106,0.009433962,1.478873239
22,0.181818182,0.214285714
16,0.0625,0.130434783
13,0.076923077,0.6
9,0.111111111,0.177777778
40,0.1,0.342105263
21,0,0.183486239
8,0,0.028806584
23,0.173913043,0.226804124
6,0.166666667,0.555555556
47,0.021276596,0.516853933
50,0,0.401639344
24,0.166666667,0.5
56,0,0.964912281
38,0,0.474358974
10,0,0.155172414
132,0.045454545,0.362880886
21,0,6.666666667
15,0.066666667,0.144329897
6,0,0.833333333
26,0.038461538,0.190839695
19,0,0.339622642
27,0.037037037,0.198473282
12,0,0.297297297
5,0.4,0.042553191
131,0.022900763,0.448275862
11,0,0.37037037
7,0.285714286,0.24
9,0.111111111,0.266666667
58,0.086206897,0.581632653
62,0.016129032,0.216312057
20,0,0.231707317
17,0.117647059,0.41025641
14,0.5,0.302325581
20,0,0.95
26,0.038461538,0.367647059
59,0,2.52173913
18,0,0.425
22,0,1.615384615
4,0.25,0.5
52,0,0.425
29,0.034482759,0.117647059
10,0.1,0.236842105
24,0,1.352941176
25,0.04,0.585365854
24,0.166666667,0.5
8,0.125,0.7
118,0.016949153,1.329545455
23,0,1.466666667
19,0.052631579,0.214285714
21,0.047619048,0.512820513
4,0.25,0.428571429
6,0.333333333,0.052083333
43,0.046511628,0.285714286
63,0,0.314720812
8,0,0.076086957
7,0,0.428571429
34,0.117647059,0.340206186
15,0,0.058333333
38,0,0.238709677
10,0,0.28125
57,0,0.848484848
9,0.222222222,0.064516129
44,0.045454545,0.296551724
3,0.333333333,0.666666667
22,0,2.625
107,0.009345794,1.23255814
29,0.068965517,0.254545455
17,0.117647059,0.4
90,0,0.360323887
92,0,1.22972973
66,0,0.192878338
15,0,0.2
4,0.25,0.428571429
24,0,0.511111111
19,0.052631579,0.268656716
26,0,1.086956522
45,0,14.66666667
60,0,0.936507937
123,0.008130081,3.128205128
26,0.038461538,0.367647059
26,0,1.086956522
93,0,2.628571429
11,0,0.476190476
18,0,0.23943662
64,0.015625,21
120,0,0.975409836
31,0.129032258,0.535714286
35,0,0.666666667
18,0,0.220779221
33,0,0.123552124
17,0.117647059,0.285714286
51,0,0.41322314
43,0.023255814,0.552631579
7,0.142857143,0.5
25,0.08,0.195121951
162,0,2.515625
49,0.020408163,0.298136646
21,0.095238095,0.23255814
31,0,0.416666667
7,0,0.315789474
108,0.009259259,1.486111111
28,0,0.287234043
56,0,0.509259259
25,0,0.363636364
13,0.153846154,0.230769231
68,0,0.638095238
44,0.022727273,0.589041096
70,0.014285714,0.217665615
12,0,2.75
38,0,0.925
9,0,0.137931034
97,0.041237113,0.768
36,0.055555556,0.538461538
23,0.043478261,0.431372549
15,0.066666667,1.555555556
125,0.016,1.9375
50,0,0.803278689
23,0,7.333333333
34,0.058823529,0.568965517
88,0.011363636,0.422330097
77,0.012987013,0.716981132
126,0.015873016,1.136363636
11,0,0.082644628
51,0,0.416666667
